mandarin,wu
可能在人民警过，他10时间呀,可能辣盖人民广场，伊跑步个辰光伊勿会接手机个，更覅讲是陌生电话睐。
我家伙民看看呢，说不能子一起呢,阿拉去人民广场看看叫，讲勿定运道好还碰到伊呢？
找他做什么？他真只是骗子一下了一会了,寻伊做啥？伊真个老忙个，难板有辰光休息一歇歇，阿拉还是侪勿要去打搅伊好伐？
我要来请她陪我去宿舍都这两个 那么样,我本来要请伊陪我去荡荡马路，侬搿恁讲么搿就算了，就让伊好好叫休息休息伐，还是侬想得周到。
你们着怎么要是要是谁呢，那样都这样,侬觉着哪能？要是侬同意个闲话，我就拿事体关照下去了。
一句话就不许10点休息了。,一句闲话，就迭恁定好了。
还有别个事吗？要是别人了啊！,还有别个事体伐？要是呒没别个事体我就去做生活去了。阿拉明朝会。
哦 我烦后来了，不知道撒样呀,哦哟，我念头上来了，勿晓得我好辣嗨搿搭吃香烟伐？
当然不来三点用对不行 对你们想着样,当然勿来三，绝对勿可以。侬呆想想看，搿搭是公共场所，又有介许多老人小人。
我第第第们没电了，不是什么都不在电话,我手机呒没电了，我想借侬只手机打打电话来三伐？
一句话！打电视上了，不分钟打个。,一句闲话！侬打好了，勿搭界个，尽管打。
你只只在看上去又是上工作看上吧？,侬搿只手机看上去倒是蛮嗲个，好看看叫伐？要是好用我也去买一只。
今天回家子了，怎么了他们还没有回来,今朝碰到赤佬了，介晏了伊哪能还呒没回来？事先伊也呒没打过招呼。
那里分离这边吗？他们怎么都许和他们,埃面搭离搿搭多少远啊？伊哪恁过脱介许多辰光还没到啊？伊难道是靠两只脚走过来个？！
你在新吗做个近干活？,侬辣嗨阿里只公司做生活？离搿搭远伐？
你上个话说好吗？好吗？你们在那么呀,侬上海闲话讲得老好个？侬辣嗨阿里搭学个啊？
你在新吗呢怎么大学睡吗,侬辣嗨阿里读个大学啊？
时候不早睡了，我们要干活了。,辰光勿早了，阿拉要去做生活了。
谢谢谢你和谁为什么是什么是那么知道,老谢谢侬帮忙个，要是呒没侬帮忙，阿拉真个勿晓得哪恁办好。
那你在和我醉了，不是一下你呀,搿趟侬帮了我记大忙了，要勿是侬来帮忙我肯定是一眼戏唱也呒没了。
不管怎么都要都要你和谁呢 我们接,勿怪哪能，侪要谢谢侬个，侬帮阿拉大忙了。
你放心里你个事呢，我们俩事情里一定,侬放心，侬个事体，就是阿拉个事体，阿拉一定尽心尽力。
谢谢你俩的车卖啊,谢谢侬个殷勤款待，阿拉邪气激动，迭个夜到阿拉过得邪气开心。
你个办法成熟虑了，你们真的感谢你。,侬个办法脱灵光了，侬真个老聪明个，谢谢侬。
你这么气干什么？孩子一下。,侬介客气做啥？小事体一桩。
你们俩里，只是我刚车工作！,侬覅谢我个，我只是做好我个本职工作。侬要谢就谢谢阿拉领导。
那是什么什么呢？,搿个是啥物事？
那个成熟多情,搿个是DVD。
那是你俩的为什么？,搿个是侬个DVD？
不是个，是事我子不看电脑子。,勿是个，是我儿子个DVD。
那些什么是什么书呢？,搿眼是啥人个书？
那里是我们俩书,搿眼是阿拉个书。
那一一点不是为什么高兴？,埃面一眼勿是㑚个书？
那个短信是她们的么。,埃面个书是伊拉个。
那就开心里是她用几个吗,搿本书一直是伊用个伐？
每没有呢，一直在我们。,呒没噢，一直我拉用。
那个专业的是我。,搿张CD是我个。
那个专业的是我们呢。,埃张CD是阿拉儿子个。
门口回有个人吗,门口头有个人。
书上高兴都是书。,书架高头侪是书。
马上的对过一下脑三点。,马路斜对过有一家便利店。
一个参加油们马上学习惯。,一家便利店垃拉马路斜对过。
你家里有点吗,侬屋里有书伐？
有几舞蹈没有,有几化？
有交关。没有,有交关。
那就新华你有吗？,搿本新书侬有伐？
那就书我没有没有,搿本书我呒没。
你要什么成熟,侬要啥个饮料？
你喜欢吃点什么？,侬欢喜吃点啥？
你可以给我一点10点10,侬可以拨我一点奶油五香豆。
你喜欢我一下门呢？这两个号呀,侬喜欢阿里一块？搿块还是埃块？
每没关系，怎么呢。一般啊。,呒没关系，随便阿里一块。
还要一点呀。,还要一眼眼。
那个一个爱你工作一点？,阿里一只侬欢喜一眼？
我只只是不要,我一只也勿要。
我要告诉第第第第第们们都快的。,我要告张先生、李先生谈谈。
他们俩的现在不过，不是那里是你。,伊拉两位现在忙勿过，勿想帮侬谈。
喝点点心你好吗 吗？,吃点点心侬看好伐 ？
你如果来，就喝点吃一点。,侬如果高兴，就吃一点伐。
那能默发过得我刚才什么。,搿能个沙发我勿想买。
那些事告诉我的话。,搿桩事体伊告我讲个。
那点报国标，你告诉她送去。,埃面点报纸末，侬告伊送得去。
在好一个，不许那样子 不要你以吗？,再好一眼个，像搿能样子个，侬要伐？
你钱工作用结婚吗,侬钞票或者信用卡带来伐？
我去把王老找来的。,我去拿老王寻得来。
他把这么这么不做生活我们呢。,伊拿搿能介难做个生活掼拨我。
我得车们都关完了。,我六扇窗侪关上了。
大家团俩的,大家电风扇吹吹。
地上把第第第第一群第。,地浪向拿扫帚扫一扫。
家里是工资料第一定。,架子高头灰尘揩一揩。
己怎么认识了啊,旧杂志卖光了。
一雨团俩工作业呢。,一块圆台玻璃敲碎脱了。
20废话她装了吗。,台子脚拨伊装牢了。
你管车习呢！,侬衣裳㫰出来！
为束成绩去了,衣裳㫰出去了。
唱歌 给大家好好吗,唱只歌拨大家听好伐？
好个。在只面什么？,好个。唱只啥？
我只怕唱歌好吗？,我只歌唱得好勿好？
挺好的工作业的。,蛮好，勿推扳。
你说两个照片上哪儿？,侬看两张照片里阿里张好？
我想是这个好。,我想是搿张好。
那个东西 你是不是吗,搿个物事侬个是伐 ？
是我个不是不是骗子。,是我个，勿是伊个。
那些事知道你吗,搿桩事体侬晓得伐？
怎么不知道呢,哪能勿晓得呢？
我为什么一定要知道呢？,我为啥一定要晓得呢？
你不关心情受,侬勿关心咾勿晓得。
我喜欢上你个地里,我老欢喜侬个。
我就是喝什么。,我就是吃侬。
他干些事情样子吗,伊做个事体侬赞成个伐？
我当然意个人呀。,我当然同意个。
你答应该么啊,侬答应勿啦？
不答应 我刚收拾来答应。,勿答应，我从来呒没答应过。
她考试不知道你吗,伊考寄托侬晓得勿啦？
我不管清楚呀,我勿大清爽。
在和里到你到底高兴吗？,海滩高头侬到底高兴去伐？
你不够在家呢,侬勿预备去，阿是？
要我做保证，我不愿意身上。,要我做保姆，我勿情愿做。
我为急不会心他去。,我作兴勿会反对伊去。
你怎么动也不动？,侬哪能动也勿动？
什么理他 她也不理我们都不理谁！,啥人睬伊！我睬也勿要睬伊！
快一点好吗！,快一点好伐！
那什么啦！,急啥啦急！
你怎么这么要结什么啦！,侬哪能搿能要紧啦！
你怎么都慢什么啊！,侬哪能介慢个啦！
为什么不听我错话？,为啥勿听我个言话？
怎么做法怎么不告诉我吗,哪能做法哪能勿告诉我听？
你什么事要叫别人,侬啥事体要骂人家？
什么不早点说！,啥体勿早点讲！
叫你去为什么不成吗？,叫侬去为啥咾勿去？
为来为去都在怎么车吗！,为来为去侪为了侬咾勿去！
你这趟车吗,侬搿排人推扳勿啦！
你们俩高一点好吗,侬素质高一点好伐 ！
我真心里好意思！,我真真勿好意思！
我有没听见面呀,我呒没听见咾。
我干吗呢在太成熟。,我做得实在忒搭浆。
实在是抱歉，真不起你呀！,实在是抱歉，真对侬勿起！
哪一开心啊！,门开一开！
那条信息受样！,搿条阴沟通好伊！
一懒啦 我检查月！,一封信脱我寄脱伊！
2号开心里洗他！,龌龊衣裳去汏汏伊！
你去王小弟呢,侬去叫伊来。
我带上去。,我带㑚去。
和我来啊！,跟我来！
快去去吧！为什么成为什么快睡觉！,快点去！慢吞吞、木笃笃做啥！
等我 中午结婚！,等等我，慢慢叫！
三，给你！,喏，拨侬！
请里第一字们呢,请朝前一步。
走去去一点呀！,走过去一眼！
走呀！大电话走来！,走呀！大家走起来！
轻父有 放啊！,轻轻叫放！
静一点好吧！,静一点好伐！
我时候也来不近啊，你们快好吗,我辰光也来勿及唻，侬快点好勿啦！
为什么好吧，要哄！,排好队，勿要插队！
不能去唱歌呢！,勿好去瞎碰个！
你不要哄工作好吗！,侬勿要来捣蛋好勿啦！
你不要意思啊！,侬勿要瞎讲！
我恋爱团子叫一下。,我平常醒得特别早。
我喜欢车懒觉。,我欢喜睏懒觉。
我每天点工作起床上。,我每天六点钟起床。
我要哄来拉半夜,我要睏到八点半刚刚起来。
我好计划吧喝酒呀。,我穿好衣裳以后就吃早饭。
我时候大电话工作业呢好看看看,我辰光来大勿及咾，只好出门买大饼油条。
我可以后写吃点吃醋10左右边 木啊,我可以笃笃定定吃牛奶面包鸡蛋，或者泡饭酱菜。
我每天早点们俩学习呢 10点开工作。,我每日早晨八点钟离开屋里，九点钟开始工作。
从上午一做到晚上,从上半日一直做到夜快头。
中午二点10点10点事怎么在干吗,中浪向十二点左右，到阿拉单位饭厅去吃中饭。
我们常为下干吗呢，一点怎么都是上。,阿拉常常做到下半天一点钟，盒饭是送上来个。
做好生一下点1000干吗呢。,做好生活一般五点半回到屋里吃夜饭。
晚上晚上名看电视呢，为什么成啥样。,夜头夜报翻翻，电视看看，汏个浴末睏觉。
我有那总实去工作，朋友一起。,我夜里向总归出去，朋友一道白相相。
回来正上网发1009810点了。,回来再上上网，发发伊妹儿，弄到十一点钟再睏觉。
你现在为什么呢？,侬现在垃拉做啥？
我们俩打电话呢,我垃拉打电脑。
你个朋友近来的车聊点？,侬个朋友近来拉海忙点啥？
史如果哄做生活。,伊一直垃海做生意。
目前我没有干什么呢。,目前我呒没拉做啥个事体。
你个朋友怎么不哄没有？,侬个朋友哪能还呒没来？
你看她们俩来了。,侬看，伊垃拉来了。
天一天们俩高兴了。,天一日日拉海冷下来了。
他慢慢误写上学习。,伊慢慢叫垃拉赶上去。
他们俩上车了,伊垃拉要上进了。
你不要哄活受样子！,侬勿要垃拉假痴假呆！
你们俩里,侬垃盖等啥人啊？
我不等什么的人。,我勿等啥个人。
只有上午，呢都不们在下呀,整个上半天，我侪拉海忙打字。
昨天我们打电话来时间吗？,昨日我拉打电话来个辰光，侬垃拉做啥？
那里是是我们呢宝贝装空一个。,搿套房子是阿拉囡儿帮女婿蹲个。
己认识车们成为，怎么样也没关没有！,㑚看，窗开垃拉，厨房间门也呒没关！
他们俩在忙车里车里看上班呢,伊拉匆匆忙忙去看足球赛，屋里物事侪摊拉海。
嗯就好好吗，第一个什么时候早,菜切好拉海，勿晓得啥个辰光来烧。
小味道了一般啊，第二点们俩都没感觉。,小菜摊了一台子，吃剩拉海个肉汤侪呒没收好。
恋爱她们她们车到库收上的呀。,㑚看，伊拉书房里倒收作得清清爽爽拉海。
写上床上一共鸣成绩们宿舍都每天着急。,写字台高头一叠专业书里混拉海几本卡通书。
嗯可以后几种古罪护病,墙头高头几张古色古香个字画像煞有介事挂拉海。
每个家里叫不到啥样子吗！,正房里向家生倒勿推扳拉海！
一种邀生一下班10810,一套红木家生要十几万洋钿拉海！
时间还在大车大车吧,辰光还早拉海唻，大家坐下来嘎嘎山河伐。
车上在睡呢么车。,茶壶里再冲点水拉海。
我们在看看电视呢。,阿拉坐拉海看看电视。
三，够健康笑的点们俩的。,喏，足球踢得正好紧张拉海。
要等鼻炎完，有一会儿呢！,要等伊踢完是，有一歇拉海唻！
我们要回去呢，你们什么事呢。,阿拉要回去唻，侬托阿拉个事体一定留心拉海。
你吃饭过没有吗？,侬饭吃过了伐？
我还没吃过的。,我还呒没吃过。
你今天下午名过吗,侬今朝下去锻炼过伐？
我已经狠没有空语音了。,我已经长远呒没去锻炼了。
你生活腻味道呢吗,侬生鱼片吃过歇伐 ？
我们俩吃过一次,我拉两年前吃过一趟。
我买了墙，做完了，没事呢？,我买了小菜，烧好了饭，等我儿子来吃饭。
都等会吃上钱了。,已经等了半个钟头了。
我还请上学工作和工作们在好了。,我还请了钟点工帮忙打扫好了房间。
你看卡刷的东西呢。,侬看，台子高头还摆了一叠校样。
到家里又打两个东西呢。,到现在我又打好了两篇稿子。
等上好了，我要把子宿舍不出车。,等天好了，我要拿稿子送到出版社去。
我里和小合认为什么去了。,我儿子跟小王买碟片去了。
他去买了两次没有到。,伊去买了两趟呒没买到。
我是她是，成了，为什么打电话打得车了,我看伊是，吃了睏，睏了吃，打打游戏，懒是懒得来！
天露快乐，我要上身了。,天亮快了，我要动身了。
车上快点火车了,水开快唻，泡杯茶吃了再走。
时候要到了，你怎么一样都刚发上,辰光要到快了，侬哪能还捱发捱发。
我要到库，去成熟宿舍不急呢 第一样呀,我要到超市去，熟泡面啊，酒酿圆子啊，一样一样买回来。
昨天我要出时候快时候和他一个车了。,昨日我要出门快个辰光，伊倒一摇一摇个来了。
他们上午来 坐一下，还就开心里,伊拉上半日来坐了坐，讲下半日就要离开上海。
我想去买车车，你一得一起上不好吗,我想去买只优盘，侬得我一道去好伐？
我个儿睡觉得做到库后。,我个儿子大了希望做医生。
是来我这些第一次好吗 第一个地址来。,如果我搿眼生活可以做光，我要拉礼拜一到南京去。
如果我在看，你不要不来走 不是你呀,假使我告诉侬，大家勿要走来走去，侬有意见伐？
一定我有可能，我就不要车。,一旦我有可能，我就要跳槽。
百弃现在对子，你会心里吗？,参加派对个言话，侬会穿阿里件衣裳？
今天 这俩骗子谁吗？,今朝穿了搿件红兮兮个衬衫，我跑得出去伐 ？
为什么她不回去成熟。,作兴伊勿回去过春节。
我们大伯的家，不过得工作一点怎么了。,阿拉大概去个，不过要看天气哪能再决定。
姐里我想和一件事子，一样好呀,小姐，我想买一件西装，样子好一眼个。
那里一公都是进车车车。,搿搭一排侪是进口面料欧版个西装。
那个良心里永远为什么一点。,搿只颜色比伊只稍为深一眼。
你这两件表工作一两为什么试。,侬看搿两件做工要比埃面要考究。
我看你们成为一点10点高兴呀,我看侬着稍为淡一点个颜色更加好。
我比你长一点点，比上这些宿舍不么样,我比侬长一点点，比搿个尺码大一点个有勿有？
两边一次医院子在干吗呢什么样两样。,旁边一排衣裳告搿搭个衣裳呒没啥两样。
单位我们是不许上三点能看呀,深藏青阿是及勿上黑颜色好看？
那个专业写完他们俩里,搿搭个衬衫呒没伊面个挺刮。
你那个一点要好好一点呀,侬看埃面一件要好一点伐 ？
那百在鼻炎车呢，一点10米泉街的。,搿条领带颜色跳一点，跟搿件西装比较配。
那点睡觉得那些一样子上班呀。,搿眼西装脱埃面眼一样，全部打九折。
们生小姐为什么要买点怎么样子吗,先生小姐，㑚要买点啥个首饰？
让我们俩看说,让阿拉先看看再讲。
现在北成熟楚们成熟。,现在铂金首饰邪气热门。
姐家里有一种舞 宽容工作第第第二里,小姐已经有一只戒指，要勿要配条铂金项链？
好个。在有些句成绩怎么不看看呢。,好个。㑚搭有几种款式，拨我看看叫。
你看我这两遍吖后有一般啊 们们玩。,侬看我搿搭一排生有十二条，侪老灵个。
还有那俩工资还有什么样。,还有埃面柜台里向也有交关垃海。
我看到这边大脑呢,我看搿条倒蛮大方。
们生气完真好，我工作10呢？,先生眼光真好，阿要试试戴戴看？
你为什么多情呢！,侬看呀，瞎嗲！
我觉得价空和别第第第一个好吗？,我觉着价钿忒贵，再讲呒没啥特别好看……
要我们到家里才地里看看。,要末阿拉到别个地方再去看看。
喜欢水，小露今天和谁为一般啊,欢迎光临，小姐今朝头发要剪一剪还是烫一烫？
那个成绩有删里又不着急工作业三点了。,搿搭烫发有游离子烫、负离子烫、直板烫、钢丝烫、玉米须烫。
以不管洗脸成器工作10呢,用勿着，汏一汏、吹一吹就可以了。
你要为下呢为什么洗啊,侬要干汏呢湿汏啊？
为洗好了。,干汏好了。
谢谢哈哈 现在不是，请上班呢,谢谢光临，现在人多，请侬坐下来等一等。
三现在意思熟好，那么第二！,㑚搿搭生意顶好，介闹猛！
你们俩和为什么长一点？,侬剃头发要剃得长点还是短点？
照样好好好了，稍有一个。,照老样子好了，稍为短一点。
修炼吧 吗,修面修伐 ？
修和你要修清楚呀,修面侬要修修清爽。
那小女同地址怎么有感觉没有,搿搭小区绿地面积有多少？
们俩的安名子客之几,占建筑总面积百分之几？
公共济成啥些什么？,公共设施有眼啥？
小区别出趟车呢,小区旁边出行方便伐？
恋气不一定要用，可宿舍得工作生。,煤气勿一定要独用，但是卫生要独用个。
我最好多们俩工资料四1。,我最好要多层房个三四层楼。
是不是装交完东西？,是勿是装修好个？
们气啦水成绩聊洗澡吗？,煤气热水器、洗衣机、空调有勿有？
恋里怎么了？车怎么成什么样呀,租金哪能算？水电煤哪能交？
姐 今晚上有空间,小姐，今朝夜到有勿有空房间？
有个，先生什么有些几些？,有个，先生侬有几位？
两个，我们成熟坏了，几个上几个,两个，阿拉住标房好了，几钿一夜？
嗯是三星期六点，三五10,此地是三星级宾馆，三百块一夜。
我们要中三天晚安。,阿拉要住三夜天。
给你三桥 七水怎么好吗,拨侬三楼三零五房间好伐？
好个。空间工作心里可以前不开些吗？,好个。房间里长途电话可以直拨个伐？
房间只能给受 好看工作们宿舍不来。,房间里只好拨市内，长途可以到总台来打。
谁上问一群第一般怎么开什么开？,随便问一声，餐厅夜里几点钟开饭？
们下，请你空间身体检身体，一下呢。,先生，请侬出示护照或者身份证，让我登记一下。
29鼻炎成绩呢，第第第第二的东西呢,126路公共汽车站头，到外滩去，拉啥地方？
那里到家子为什么不吗？,搿部车子到静安寺去伐？
到了露露路叫，请你一声心里吧。,到了常熟路站，请侬叫一声我。
我已经过得过了。,我已经刷过卡了。
我就过站了，怎么办？,我坐过站了，哪能办？
那是鼻炎话，第第第第二的 做个。,搿部是区间车，到梅陇新村要调头。
下家里是什么地方？,下面一站是啥地方？
己舞 第第第第第一左 都不到了吗,“ 美丽园 ” 站头到了伐 ？
还有站雨下下去。,还有两站下去。
对不起，叫一起来一下车。,对勿起，让一让我下车。
那晚了，还好吗呢！交车吧 第一般啊。,介夜了，还坐啥个公交车！叫的士伐 。
不要等呢，我们一下第二,勿要等唻，我来拉一部差头。
我们要到库安路上班了。,阿拉要到虹桥路延安西路口。
要不要上家走,要勿要上高架走？
随在怎么走怎么快就是怎么开！,随便哪能走，哪能快就哪能开！
那就上到家,葛末就上高架走。
喔怪的都不许车成事情了！,喔唷，碰着塞车，急煞人了！
就在停车好好,就搿搭停车好唻。
你是鼻炎还是嚣子吗,侬是拉卡还是付现金？
家里把好吗工作受,发票拿好，物事勿要忘记拉车子高头。
今晚上去工资料车呢么不？,今朝夜到去广州个火车票还有伐？
恋认识 第第第一毛们了 都没有什么。,“直快 ”车票呒没了，“特快 ”还有。
告诉我一种邀快睡,告我定一张“特快”车票。
你要独们俩工作子吗,侬要硬座还是卧铺？
三果还有还有吗？,软卧票还有伐？
让我一看看不起呢，只有什么都忘了。,让我看一看，对勿起，只有硬卧票了。
从上做到库工作一个月？,从上海乘到郑州要几个钟头？
车上这些几点开？,火车搿班几点钟开？
做帐车结婚，几号样？,乘搿部火车，走几号通道？
那个我是到家子去里车？,搿个阿是开到北京去个火车？
那里表们俩火车吗,搿部火车拉昆山站头停车伐？
买车不成东西口里三工作,买火车预定票个窗口垃拉阿里？
我想买个字们干上学习惯的手机。,我想买一张乘到上海个单程机票。
三个专业号学习惯,3月30号个班机全部客满。
