mandarin,wu
我不能为了接你的一个电话而不上班吧,吾伐可能为了接侬呃一只电话而伐上班伐
你打电话是要呒我吗？,侬打电话是要骂吾伐？
恩！知道了！你也记得开心,恩！晓得了！侬也记得开心
自己好好想一想吧！,自家好好想一想伐！
那你觉得我呢,那侬觉得吾呢
收到，让朕猜上一猜。,收到，让吾猜上一猜。
王东你去找高武是什么意？,王东侬去寻高武是啥意思？
你忙的话不用回信息了哦！,侬忙呃闲话啊伐用回信息了！
为什么 你干什么呢,为啥 侬辣海做啥
但是现在出这么大的事我哪能睡着呢？,但是现在出了介大呃事体吾哪能困得着呢
你睡觉明天要干活,侬困觉明朝要做生活呃
我很好，你自己呢亲爱的！,吾老好呃，侬自家呢亲爱的！
晚安亲爱的！等你回来弄！,晚安
早就会用，只是一直在心里没说过尔一,早就伐用，只是一直辣心里想没讲过而已
姐 亲爱的好姐姐！,姐 亲爱呃好姐姐！
早点休息吧！我睡了,早点休息伐！吾困了
为什么这么说？是不是很不成熟。,为撒搿能噶样子讲？是伐是老伐成熟。
呵呵我知道了,呵呵吾晓得了
你玩的呢 我在和丰,侬孛相呃呢，吾勒和丰
第一次看到你在豆家,第一堂看到侬辣兜街
我上次手机丢了才联系不上你们的,吾上趟手机落特了才联系伐上那呃
猪，你不是说给我打电话类么？,猪路，侬伐是讲特吾打电话吗？
你真正的 好好玩吧我睡觉呢,侬真正呃 好好孛相伐吾困觉呢
你今天为什么不高兴能告诉我吗 速回！,侬今朝为啥伐开心？好告诉吾伐？速回。
好吧他新办的号你知道吧,好伐伊新办呃号头侬晓得了伐
好快呀！辛苦了！,老快嘛！辛苦了！
刘波真不在你那吗,刘波真呃伐辣该侬埃面搭吗？
明天下午我就走的,明朝下半天吾就走呃
那是你没有删 和我没有分钱的关系,搿是侬没删特 跟吾没分钞票呃关系
硪记得你好想已经找了一个了！,哦记得侬老想已经寻了一个了！
睡觉了 想我了！,困觉了 想吾了！
我走了哟 你还要耍,吾走了 侬还要孛相啊
能否这样称呼你！,伐晓得可以搿能噶样子称呼侬！
等我好了再去吧，这顿酒你请定了哦！,等吾好了再去吧，搿顿酒侬请定了哦！
切 怕你不高兴 想跟你说会呢我真会了,切 ，怕你侬伐高兴 ，想跟侬讲会呃勒吾真呃会了。
你瞌睡就早跟我说嘛,侬瞌睡了就早眼帮吾讲呀。
我晕，宝贝还不满意了啊,吾混，宝贝还伐满意啊
打电话叫一下，明天,打电话叫一叫，明朝
手机没费了，我让你亲自交！,手机没费了，吾让侬亲自交！
那你们注意安全,那注意安全
早点休息 我回了！来亲个！么么 哈,早眼休息，吾回了！来亲个！么么哈！
恩 好的！你也是哦！,恩，好呃！侬也是哦！
有收到我信息没,侬收到吾呃信息了伐？
嗯 知道了 自己小心,嗯 晓得了 自家小心
别人都睡着咯呵呵 咋还不睡,别人侪困着了哈哈哪能还伐困
好无情 你懂我的心是何感受麽,真无情，侬懂吾心里向是哪能感觉伐？
发工资你的假都快完了吧,发工资侬呃假快没了伐
她全部看了,伊全部侪看了
晚安。好好睡觉。呵呵,晚安。好好叫困觉。呵呵
还想跟你说说话呢,还想跟侬讲讲闲话呢
那我们谈恋爱好吗,那阿拉谈恋爱好吗
哦！安心学习吧！,哦！安心学习伐！
死丫头你杂想到我了,死丫头侬哪能想到吾啦
小怎么了 才几个月而以！,小哪能了 只有几个号头呀！
妞 生日快乐！天天幸福噢,亲爱的 生日快乐！天天幸福
我们还是离,阿拉还是离
一样可以这样问候，一样可以在一起玩,一样可以搿能噶问候，一样可以辣辣一道孛相
声音就明天在听吧，！,声音就明朝再听伐，！
我找了一张内存卡！,吾寻了一张内存卡！
我在啊 你怎么半天没回呢,吾辣海呃呀 侬哪能半天没回啦
我要是没吃 你会怎么办,吾要是没吃 侬会得哪能办
我上网时候给你发啊！,吾上网呃辰光拨侬发呀！
我刚练了一会舞 没人你就睡觉啊,吾刚练了一歇舞，没拧侬就困觉啊！
没事不用过去拉他爸在做手术快点来一网,没事体伐用过去了伊拉爷辣做手术快眼来一网
别来了，来了我也不看啊！,伐来了，来了吾啊伐看啊！
不知道啊？我瞌睡，我睡了。,伐晓得啊，吾倦了，吾困了。
恩就是 你明天能不能给我打上钱啊,恩就是 侬明朝能伐能跟吾打上钞票啊
睡不着啊！没事可做啊,困伐着啊！没事体可做啊
睡觉时把被子盖好，早点睡,困觉呃辰光拨被头盖好，早眼困觉
你在干吗呢啊！在看电视吗！,侬辣组撒啊！看电视啊！
你没出去喝点,侬没出去吃点啥
没什么！你干吗呢？,没啥！侬组撒呢？
不好意思，我想问下这号是你刚换的吗？,伐好意思，吾想问伊下这号是侬刚换呃吗？
呵呵，好吧，晚安，好梦,呵呵，好伐，再会
哪一天要真的过不下，就离了算了！,啊里一天要真呃过伐下，离了算了！
我是要面子的人！,吾是要面子呃拧！
老婆 你好好查询一下咯！,老婆 侬好叫查一查哦！
猪 记住就记住吧！,猪猡 记牢就记牢伐！
你现在抗不住那以后我不用手机杂办？,侬现在挡伐牢葛末下趟吾伐用手机哪能办？
喔，不说这些勒。,喔，伐讲搿些了。
不要太累了好吗,伐忒吃力了好伐
想不通德狠勒！,想伐通德狠勒！
你都猜对了，还让我说什么？,侬侪猜对了，还要吾讲撒？
么么么老公，你怪我不？,么么么老公，侬怪吾伐？
还是我离了婚在说,还是吾离了婚在讲
自己好好考试昂。,自家好好交考试昂。
说了洗完给我说的老婆！,讲勒汏好帮吾讲呃老婆！
都这么晚了还不吃！,都介晚了还伐吃！
你没有交过女朋友吗？,侬没交过女旁友吗？
思亦浓，情意长。,思念越来越浓，情意越来越长。
宝贝 我失眠了 想你哦,宝贝吾失眠了想侬哦
今晚想跟你发短信。,今朝夜里相想特侬发短信。
呐 ，安她在我们家,呐，安伊辣该阿拉屋里向
我知道了 到时候再联系,吾晓得了 到时候再联系
我明天萨时候给你打电话,吾明朝啥辰光拨侬打电话
我真的不想在临走的这几天惹你生气！,吾真呃伐想辣海临走呃搿几天让侬生气！
就是那句据我观察！,就是埃句，据吾观察！
那么晚了还不回家,介晚了还伐回屋里向
自己多保重，别太累了,自家多保重，伐要太吃累了。
在上班呀。还要两个小时也可以睡了。,辣上班呀。还要两呃钟头啊好困觉了。
住的这两天把房租给我吧,住呃搿两天把房钿拨吾伐
看来还真是对我无语了啊,看起来真呃是对吾无语了啊
你明白吗江山易改本性难移？,侬明白伐江山易改本性难移？
是啊！没有办法啊,是呃呀！没办法啊？
别只答应做不到哦！,伐要光答应做伐到哦！
真的没有找别人吗 你告诉我好吗,真呃没寻别人啊，侬告诉吾好伐。
我最近玩失踪呢,吾最近辣孛相失踪
躺在床上想你成了我每天的必读课！,困勒床高头想侬是吾每天必须做呃事体！
回答的很好！,回答了老好！
你再不睡觉撒！陪我聊会儿嘛,侬再伐困觉陪吾聊一歇嘛
不过今晚不说了吧！,伐过今朝夜到伐讲了伐！
我觉得我在他心里,吾觉着吾辣该伊呃心里向
是最后一次机会好吗,是最后一次机会好吗
睡吧，再说下去真不安全了。,困伐，再讲下去真呃伐安全了。
我的手机没有记录了。,吾呃手机么记录了。
谢谢，同样把祝福送给你,谢谢，同样把祝福送拨侬
这么早能睡得着吗？,介早侬困得着伐？
到家了吧！是不是受凉不舒服了？,到屋里向了伐！是伐是受凉伐舒服了？
摁。晚安！做个好梦！,嗯。明朝会！做个好梦！
那当然了，要是赶上雨天会很冷的,搿当然了，要是赶上落雨天会老冷呃
你过去吧我一个人睡的呢,侬过去吧吾一饿拧困呢
我又被她们欺负了，我受不了了！,吾又被伊拉欺负了，吾受伐了了！
哎 你睡觉了吗,哎 侬困觉了伐
那你明年回来的时候估计会叫了,葛末侬明年子回来呃辰光估计就会得喊了
不要了吧，我怕吵醒我爸妈了。,伐要了伐，吾怕吵醒阿拉爷娘。
睡没有 今天咋样,困没 今朝哪能样
一样，自己把握好就行了,一样呃，自家把握好就可以了
你在车上了,侬辣海车子上
就这么简单啊！那乖乖睡吧！,就介简单啊！葛末乖乖困伐！
但是绝对是在里面的,但是姐姐是辣海里向呃
啊？快点，锁门了,啊？快点，锁门了
宝，睡了没有啊！,宝，困勒伐！
我是真星星的！还疼吗？,吾是真星星呃！还痛伐？
当老板了，恭喜啊！,当老板了，恭喜啊！
你这么快就睡了？,侬哪能介快就困了？
好吧，我们睡觉觉。,好伐，阿拉一道困觉。
晓燕菲菲永远 在一起！,晓燕菲菲永远辣该一道！
你怎么样了冰块 这号王峰知道吗,侬哪能啦冰块 搿号王峰晓得伐
哦 那就好 早点睡吧,哦 搿就好 早点困伐
我不想这个参加啊！,吾伐想搿则崔咖啊！
但我真想看见你,但是吾真呃老想看到侬呃
你可以打电话问问他们,侬可以打电话问问伊拉
唐爱 我的爱你好吗？,唐爱，吾爱侬好伐？
明早联系吧。休息吧。,明朝再讲伐休息伐
不行，你给他打嬷！你是承认错误吗？,伐来塞，侬特伊打吗！侬是承认错误伐？
我在路上 等我噢我们马上见面了,吾辣路哴向 等吾噢阿拉马上就碰头了
讲的都是男人呀。,讲呃侪是男拧呀。
我睡觉了，明天要早起,吾困觉了，明朝要早起
你杂这么极端？你舍得我喔？,侬哪能介极端呃？侬舍得吾伐？
是啊老婆 睡吧哦 我要去上班了,是啊，老婆，困觉伐，吾要起上班了
我刚刚到宾馆洗完澡,吾刚刚到宾馆汏好浴
我送回去了，你愿意给我买不？,吾送回去了，侬愿意特吾买伐？
刚洗脸，你还没有睡觉？,刚刚汏面孔，侬还没困觉啊？
早下班了！在睡觉呢！,早下班了！在困觉呢！
这是我们彼此都在想念哦！,搿是阿拉彼此侪辣该想念哦！
你喝好耍好，我睡觉了,侬吃好孛相好，吾困觉咯
不想连累你们！,伐想连累那！
快放假回家了才这样说的么,快要放假回去了才葛能噶讲呃吗
哈哈 开玩笑呢！,哈哈 开玩笑呢！
可以吧！怎么了？,可以伐！怎么了？哪能了
过的好吗 我想你把我忘了,过的好吗 吾想侬把吾忘了
比死都难受你知道,比死还难过侬晓得伐
明天再聊吧！我不行了瞌睡的,明朝再讲伐！吾伐来塞了要困觉勒
我不能让你和孩子没名没份吧,吾伐好让侬帮小拧没名没份伐
快说，说完再睡！,快点讲，讲好再困！
写不完东西就是要来写呀？,写伐光额东西就是要来写呀？
恩，没事了。谢了，早点休息吧！,恩，没撒事体了。谢了，早眼休息伐！
不过刚才显示没信号了,不过刚刚显示没信号了
睡着了吗 刚刚洗澡好舒服哦！,困着了伐 刚刚汏好浴老色一哦！
老公，你刚忙完吗？不斗蚂蚁了吗？,老公，侬忙好了伐？伐斗蚂蚁了啊？
呵呵！我在睡觉呢！,呵呵！吾辣困觉喃！
老婆刚聊完 突然不知道说啥,老婆刚聊好 突然伐晓得讲啥
讨厌 夸一下人家会是怎样哦,讨厌 表扬一记拧家会的哪能啦
明早有课睡了 晚安！,明朝早哴向有课困觉了，再会！
你让发短信的上树上找树叉去,侬让发消息呃拧上树去寻树枝去
我怎么可能是那种人呢？,吾哪能可能是埃种噶拧呢？
那六月底还能不能当志愿者了,葛六月底还可伐可以当志愿者了
不是吧你还挺勤快德嘛！我现在在上网,伐是吧侬还挺勤快的嘛！吾现在在上网
不要一天象小学生一样！,伐整天象小学生一样！
阿依努尔买尔哈巴睡觉了吗,阿依努尔买呃哈巴困觉了伐
哦，嗬嗬，好久都没联系了，还好吗,哦，呵呵，长由没联系了，还好伐
我真的不想看到你的照片！,吾真呃伐想看到侬呃照片！
你三更半夜不睡觉想干吗？,侬三更半夜伐困觉想组撒？
哈哈你自己把握吧！呵呵我也不好说哦,哈哈侬自家把握伐！呵呵吾阿伐好讲哦
等你下班了在聊吧！,等侬下班了再讲伐！
啊！那怎么办？唉！,啊！葛哪能办？唉！
我也爱你 亲爱的晚安,吾也爱侬 亲爱的晚安
不行就请假休息,伐来塞就请假休息
气死我了，气死我了，气死我了！,气死特吾了，气死特吾了，气死特吾了
你说话还是那德行！,侬讲闲话还是搿副腾藤四！
还不一定那 你现在怎么样呀,还伐一定喃，侬现在哪能
多睡对身体有好处，晚安。,多困觉对身体有好处，晚安。
晚安 好想亲你！,困觉了，老想亲侬呃！
对啊 没办法这些莪姐都卟 知道。,对呃啊 没办法搿些吾阿姐侪伐晓得。
好的，老公也早点睡觉！,好呃老公啊早眼困觉
你这段时间你在彷徨吗？,侬搿段辰光辣海迷茫吗？
想你 不回了,想侬伐回了
嗯 关系不一般嘛,嗯，关系伐一般嘛。
我在联谊网吧,吾辣辣联谊网吧！
你昨天发的照片还是没打开,侬昨日子发呃照片吾还是没打开
我就是想骗你吃点饭 你居然不上当,吾就是想骗侬吃点饭，侬居然伐上当
怎么不说话了阿。,哪能伐讲闲话啦
你没我睡觉习惯吗什么感觉啊？,侬没吾困觉习惯伐，啥感觉啊？
总之我们不要分手,总之阿拉伐要分手
当你每次对当时的感,当侬每趟对伊呃辰光感觉
我哪里坏了 明明是你坏！,吾啊里的坏特了，明明是侬坏！
孩生病也折腾不起,小拧生毛病也折腾伐起
今天唐丹她们背着我去找她 帮我说话！,今朝唐丹伊拉背勒吾去寻伊，帮吾讲闲话！
呵呵 风雨路我们一起走过,呵呵 风雨路阿拉一道走过
说清楚也很好啊，你刚的意思是什么？,讲了清楚阿老好啊，侬讲呃啥意思勒？
呵呵 你小心点啊！,呵呵 侬当心点啊！
学生又惹你生气了吗,学生子又撒侬生气了吗？
我应该会争取留在米泉吧！,吾应该会的争取留辣米泉伐！
老公 没收到我的彩信吗,老公，没收到吾呃彩信吗
你说我会怎么做？,侬讲吾会的哪能做？
还没睡觉吗 打电话有事吗,还没困觉吗 打电话有事体吗
也不知道以后会不会相信,啊伐晓得下趟会伐会的相信
恩我知道！你快休息吧,嗯吾晓得！侬快休息伐
明天在帮你采吧！,葛末明朝在帮侬采伐！
子！哥们 收到短信要快乐！,子！兄弟 收到短信要快乐！
没有 哥刚喊我有事,没阿哥前头喊我有事体
我的心情很糟糕我睡不着，祝你晚安！,吾呃心情老差困伐着，祝侬晚安！
不说了明天在说,伐讲了明朝再讲。
2点10分在触动门口见,两点十分勒该触动门口碰头
是我说话不注意 你也不用不接电话呀！,是吾讲闲话伐注意，侬也伐用伐接电话啊！
别补了累了一天早点睡吧我还能等,伐补了，吃力了一天早眼困伐吾还好等
用完电脑记得洗脸，早点休息了。,用好电脑记得汏面孔，早眼休息了。
你总会扫兴！,侬总归会的扫兴！
笨的啊 我刚写完作业！,笨啊 ，吾刚刚写好作业！
你确定你很好没事。,侬确定侬老好呃没事体。
你就不可以说干点其他的,吾就伐可以讲点其他呃
睡吧宝宝！晚安 么么,困伐宝宝！明朝回妈妈
英子很想见你你有空时打电话,英子老想看看侬呃有空特伊打电话
那我不给你生你就对我不好吗,葛末吾伐帮侬生侬就对吾伐好咯
洗洗早点休息哦！,汏汏早点休息哦！
睡着了吗 感觉还可以吧！,困着了伐 感觉还可以伐！
有点！当姐的你不透露一下,有眼！侬当姐姐呃伐透露眼撒
可有时候放弃也是个好选择,有呃辰光放弃也是一种好呃选择
我们刚从湖边回来才到宾馆，很想你！,阿拉刚从湖边回来才到宾馆，老想侬呃！
那好吧！那你来找我我在红山这里,葛末好伐！侬来寻吾吾辣该红山搿搭
我真的不好意思！,吾真呃伐好意思！
杂了！不行吗,哪能！伐可以吗
闹吧，说你不对那你就别闹了好吗？,闹伐，讲侬伐对，葛末侬就伐要闹了好伐？
呵呵，以后，你还有我，有我的家人,呵呵下趟，侬还有吾，特吾屋里向拧
不打了，准备睡觉了，你也早点睡吧！,伐打了，准备困觉了，侬也早眼困觉伐！
呢你打电话过来给你听,那侬打电话过来拨侬听
我们谁也没有错。,阿拉撒拧啊没错
宝 我睡了，你快点睡噢！,宝 吾困觉了，侬快点困伐！
有点小事麻烦一下,有眼小事体麻烦一下
只要是个能跟你上床的女人哪个不行,只要是个能侬跟侬困觉呃女拧啊里个伐来塞
诉状写了没有,诉状写了伐
老公刚吃完饭，好想好想好想你啊！,老公刚吃好饭，老想老想老想侬呃！
恩 完了 你还没睡觉,嗯完了侬还没困觉啊？
哈哈，可怜的，没事，我应该不会这么早,哈哈，可怜呃，没事体，吾应该伐会噶早
在看电视 我现在比你们睡都身体好,辣海看电视 吾现在比那最多身体好
哥 放心吧！,阿哥放心吧！
睡不着 你睡着了吧,困伐着 侬困着了伐
我眼睛疼的睡不成,吾眼睛痛了困伐着。
在干吗呢这两天也不上网过的好吗,辣该伐搿两天也伐上网过辣好伐
我再不这么晚回了 我家这里都关大门了,吾再伐早点回去，吾屋里厢搿得侪关大门了
咋办啊 我不知道,哪能办啊 吾伐晓得
今晚上你在哪里又是你一个人吗？,今朝夜到头侬辣啊里的又是侬一家头啊
现在正在上班吗！,现在辣该上班伐！
是啊 可惜不是女同事啊,是呃呀！可惜伐是女同事
知不知道你发了多少个？,晓伐晓得弄发了多少呀
现在不自然了，回答我的问题,现在老伐自然呃，回答吾呃问题
我接住 嘿嘿！,吾接牢，嘿嘿！
回来了 在宿舍的呢！,回来了 辣海宿舍里呢！
我正在演出，稍后再联系,吾辣辣演出，稍后再联系
什么我都可不要,吾啥物事侪可以伐要
所以没回阿！,所以没回呀。
你那有喝香气正水吗！,侬埃搭有吃香气正水吗！
挣开眼第一个想到的也必须是我！,挣开眼第一个想到呃必须是吾！
我要做第一！,吾要做第一！
看谁明天起的早！,看撒拧明朝早哴头起了早！
情理之中，意料之外,情理之中，意料之外
为什么我在给你发一张,为啥吾要再发侬一张
就一个专业的学生,就一个专业呃学生子
我不信自己被人喜欢,吾伐信自家被拧欢喜
我撒时候把你号给谁了！,吾啥辰光拨了侬呃号头拨撒拧了！
妈妈睡着没有,呣妈困着勒伐
袄 那你表生气袄 我随便说说,哦，那侬伐要生气哦，吾随便讲讲！
看电视了，也不知道能批不。,看电视了，也伐晓得好批伐。
你在我心中还是我的娜娜！,侬辣辣吾心中还是吾呃娜娜！
看来是真的不拘束了。,看起来是真呃伐拘束呃。
我们是生活在现实中的人！,阿拉是生活辣海现实中呃拧！
唉 抓紧现在好好把学习搞啊,唉 抓紧现在好好拿学习搞啊
我感觉成熟多老啊。,吾觉着成熟交关。
人家是和蓝朋友 质鱼吃胖不怕,人家是和蓝朋友，质鱼吃胖伐怕
那以后在不看你啦,葛末以后再伐看侬啦
哦，到时候回去了给老公讲解哦！,哦，到辰光回去了特老公解释哦！
你怎么拉阿，又不给我说怎么拉阿,侬哪能啦，又伐拨吾讲闲话了啦
这样啊 那你快回来吧！,搿样啊 那侬快点回来伐！
为什么要忏悔呢 我做错事情了吗,为撒要忏悔呢 吾做错特事体了吗
你对我很陌生吗？,侬对吾很陌生吗？
睡觉吧快点哦听话,困觉伐快点哦听闲话
还没有呢！在等你,还没呢！辣海等侬
哈哈！亲爱的朋友你还没睡,哈哈！亲爱的朋友侬还没困觉啊
我不是记得换号时给你群发过我的号么,吾伐是记得换号时跟侬群，发过吾的号吗？
你原谅我了,侬原谅吾了
能告诉我，你是如何处理它的麽？,能够告诉吾，侬是哪能处理伊呃伐？
路是自己走的我不勉强你对我的 真,路是自家走呃吾伐勉强侬
我以后再也不说那些话了 我一定,吾下趟子再伐讲埃些闲话了，吾一定。
不考了，都是大二的，谁通知的,伐考了，侪是大二呃，撒拧通知呃
把这些话收回去吧,拿搿些闲话收回去伐
以后你跟他们去玩,下趟侬跟伊拉出去孛相
从那天早晨起学生们都说你才怕女朋友！,从埃天早哴头起，学生们侪讲侬怕女朋友！
你怎么打电话给我！,侬哪能打电话拨吾！
呵呵 不哭，要乖哦。,呵呵伐哭，要乖哦。
她们可好了！,伊拉侪好呃
我也会对以后的挫折抱以麻木的态度,吾也会对以后呃挫折抱以麻痹呃态度
老公 忙完没吖！,老公 忙好没吖！
你杂没饿死,侬哪能没拨饿死特
我马上到南门对,吾马上到南门对伐
好点，能做的让别人说不出话来。,好眼能做得让人家讲伐出来闲话
嗯，好好整理吧！还是要早点休息的,嗯，好好叫整理伐！还是要早眼休息哦
你女朋友跟你一样大么,侬女旁友跟侬一样大伐？
还没有来家吗,还没回到屋里吗
你好意思呢 我不管了！,侬好意思呢 吾伐管了！
清静的风 带走心中所有！,清静呃风 拿心里向所有呃才带了跑！
难道我们俩个有缘份吗！,难道阿拉俩个是有缘份吗！
对了 现在你还好吗,对了，现在侬还好伐？
不跟你兜圈子了！,伐跟侬兜圈子了！
不用 你把钱存好以后要用的,伐用 侬拿钞票存好下趟要用呃
要学会照顾自己,要学会照顾自家
打麻将赢钱了吗,搓麻将赢钞票了伐
你说我到想听听！,吾讲吾，倒想听听！
好了不打扰你了，早点睡吧！,好了伐打扰侬了，早点困伐！
我晕，还有好久哦，注意身体健康！,吾头昏，还有交关辰光，注意身体健康！
你们俩都多少年的朋友,那两噶头算多少年呃朋友
家里吃的都备了吗,屋里吃呃侪准备好了伐
我刚洗完！你睡着了？想要你陪我！,吾刚汏好！侬困着了？想侬陪吾！
好吧 童欣的不给你讲,好伐童欣呃伐帮侬讲
你先猜一下！,侬先猜一记
亲爱的 最重要的是我们不能轻易放弃,亲爱呃 最重要呃是阿拉伐能轻易放弃
也许我确实没什么值得你去留念。,或许吾的确没撒值得侬去留念。
呵呵抱歉姐没感冒吧！？,呵呵伐好意思阿姐没感冒伐？
蒽，你呆几天啊？,嗯，侬呆几天啊？
我不是高中的 大专！,吾伐是高中呃是大专！
一定要吃饭哦！我爱你老公！晚安！,一定要吃饭哦！吾爱侬老公！呀到会！
我想清楚了去找你的真晴吧！,吾想清爽了去寻侬呃真晴伐！
这么晚才下班太辛苦了吧,介晚才下班忒辛苦了伐
一把鼻涕一把眼泪，投身工作英雄无畏。,一把鼻涕一把眼泪水，投身工作英雄无畏。
我没有不专心，不要误会好吧！,吾没伐专心，伐要误会好伐！
宝贝 我回来了 正准备洗漱,宝贝，吾回来了，正准备洗漱
早上起来记得吃饭。,早哴向起来记得吃饭。
每个人也应该都是这样吧！,每拧侪应该搿是搿能噶伐！
现在就哄她睡了。,现在就哄伊困觉了
你这小家伙以后必将成器！,侬搿小家伙下趟一定成才！
我知道了，婧儿睡觉了？,吾晓得了，婧儿困觉了伐？
祝你 团团圆圆！,祝侬 团团圆圆！
那个做生意的人，明后天就座车来。,艾饿做生意呃宁，明朝后天就坐车子来。
是的我想一定会很好的,是呃吾想一定会得老好呃
那你要是收拾不了我呢 哈哈！,搿侬假使收作伐了吾呢！
我今天中午才洗的,吾今朝中哴再汏呃
为什么调静音,为啥调静音
明晚我们要好好享受人生！,明朝夜里向，阿拉要好好享受拧生！
噢 呢你玩吧！别太晚我睡了！,噢埃侬孛相吧！伐要忒晚，吾困觉了！
发个吗 我想没我难看吧！晚安,发只伐 吾想没吾难看伐！呀到会
你记住你不理我我会永远不理你的,侬记牢侬伐理吾，吾会的永远伐理侬呃
哦！是吗？知道了！你爸是明汉吧！,哦！是伐？晓得了！那爷是明汉呃伐！
哦 那我还要亲你呢老婆,哦，那吾还要亲侬呢，老婆
天天上班都在想你过的好不好 担心的很,天天上班侪勒该想侬好伐好担心得很
如果真的黑名单我会生气！,如果真呃是黑名单吾会的生气呃！
我没有下载飞信！,吾没下载飞信！
你介不介意在说一遍啊！,侬可伐可以再讲一遍啊！
姐姐你真的一点办法都没有吗,姐姐侬真呃一眼办法啊没伐
好的 早点休息 好梦,好呃，早眼休息，好梦。
别在错过最后的机遇和时间了,伐要再错过最后呃机遇特辰光了
我们己到库尔勒,阿拉已经到了库尔勒
我想一会就睡着了吧！肚子给割了算了,吾想一歇就困着了伐！肚皮拨割了算了
老公的唯一的宝贝！,老公唯一呃宝贝！
好的明天一定会给你打电话噢,好呃明朝一定会的拨侬打电话呃
老婆，干什么呢？,老婆，辣该做撒？
我就是问一下 你干嘛 这样,吾就想问一问，侬做撒要搿能
老公明天十二点在广场见,老公明朝十二点钟勒广场碰头
那也太 让人有点受不了！知道不,搿也让忒人受不了！晓得伐
我有回头阿 呵呵，不知道吧？,吾有回头啊 哈哈，伐晓得伐？
